dialogue_id,turn_id,role,raw_intent,final_intent_used_by_lf,price_unit,raw_price_before_safety,safe_price,planned_price,final_price_used_by_lf,last_buyer_price,last_seller_price,buyer_limit,price_safety_changed,price_safety_violations,seller_price,seller_tactic_label,seller_tactic_dist,seller_switch_prob,seller_concession,price_gap_to_buyer,buyer_strategy,planner_reason,intent_safety_changed,intent_safety_reason,lf_price_sync_changed,utterance
S_kNgI96GKTlpM2png:86bcefd0,0,seller,,,real,,,,,,,,,,,NEUTRAL,"{""AEO"": 0.034482758620689655, ""CLOSING"": 0.034482758620689655, ""CSC"": 0.034482758620689655, ""LIC"": 0.034482758620689655, ""NCR"": 0.034482758620689655, ""NEUTRAL"": 0.7241379310344828, ""RC"": 0.034482758620689655, ""REO"": 0.034482758620689655, ""RNC"": 0.034482758620689655}",0,,,,,,,,I'm interested in selling you my fitbit.
S_kNgI96GKTlpM2png:86bcefd0,0,buyer,propose,propose,real,19,18,18,18,,,18,TRUE,"[""above_buyer_limit""]",,NEUTRAL,"{""AEO"": 0.034482758620689655, ""CLOSING"": 0.034482758620689655, ""CSC"": 0.034482758620689655, ""LIC"": 0.034482758620689655, ""NCR"": 0.034482758620689655, ""NEUTRAL"": 0.7241379310344828, ""RC"": 0.034482758620689655, ""REO"": 0.034482758620689655, ""RNC"": 0.034482758620689655}",0,,,neutral,missing last buyer or seller price; start from safe price,FALSE,,FALSE,"haha, really? It says you're selling a Polk Audio 5.1 Home Theater System w/ Onyoko Reciever, Cherry. For $18.0."
S_kNgI96GKTlpM2png:86bcefd0,1,seller,,,real,,,,,,,,,,16,NEUTRAL,"{""AEO"": 0.034482758620689655, ""CLOSING"": 0.034482758620689655, ""CSC"": 0.034482758620689655, ""LIC"": 0.034482758620689655, ""NCR"": 0.034482758620689655, ""NEUTRAL"": 0.7241379310344828, ""RC"": 0.034482758620689655, ""REO"": 0.034482758620689655, ""RNC"": 0.034482758620689655}",0,,-2,,,,,,I understand. $16 and we have a deal.
S_kNgI96GKTlpM2png:86bcefd0,1,buyer,counter,counter,real,16,16,16,16,18,16,18,FALSE,"[""below_last_buyer_price"", ""lower_bound_above_upper_bound""]",,NEUTRAL,"{""AEO"": 0.034482758620689655, ""CLOSING"": 0.034482758620689655, ""CSC"": 0.034482758620689655, ""LIC"": 0.034482758620689655, ""NCR"": 0.034482758620689655, ""NEUTRAL"": 0.7241379310344828, ""RC"": 0.034482758620689655, ""REO"": 0.034482758620689655, ""RNC"": 0.034482758620689655}",0,,,neutral,"gap=0.0 scale=0.2 strategy=neutral; final clamp: above_last_seller_price,lower_bound_above_upper_bound",FALSE,,TRUE,"Well you listed the item at$ 4, so I was thinking more like $16.0, but since it's new I guess I can do your original list price of$ 4. Can you do that?"
S_kNgI96GKTlpM2png:86bcefd0,2,seller,,,real,,,,,,,,,,,NEUTRAL,"{""AEO"": 0.034482758620689655, ""CLOSING"": 0.034482758620689655, ""CSC"": 0.034482758620689655, ""LIC"": 0.034482758620689655, ""NCR"": 0.034482758620689655, ""NEUTRAL"": 0.7241379310344828, ""RC"": 0.034482758620689655, ""REO"": 0.034482758620689655, ""RNC"": 0.034482758620689655}",0,,,,,,,,Sure! Works for me! Thanks.
S_kNgI96GKTlpM2png:86bcefd0,2,buyer,agree-noprice,agree-noprice,real,,,,,16,16,18,FALSE,"[""raw_price_none""]",,NEUTRAL,"{""AEO"": 0.034482758620689655, ""CLOSING"": 0.034482758620689655, ""CSC"": 0.034482758620689655, ""LIC"": 0.034482758620689655, ""NCR"": 0.034482758620689655, ""NEUTRAL"": 0.7241379310344828, ""RC"": 0.034482758620689655, ""REO"": 0.034482758620689655, ""RNC"": 0.034482758620689655}",0,,,,raw_price is None,FALSE,,FALSE,That sounds good.
S_kNgI96GKTlpM2png:86bcefd0,3,seller,,,real,,,,,,,,,,,NEUTRAL,"{""AEO"": 0.034482758620689655, ""CLOSING"": 0.034482758620689655, ""CSC"": 0.034482758620689655, ""LIC"": 0.034482758620689655, ""NCR"": 0.034482758620689655, ""NEUTRAL"": 0.7241379310344828, ""RC"": 0.034482758620689655, ""REO"": 0.034482758620689655, ""RNC"": 0.034482758620689655}",0,,,,,,,,Correct. Please make an offer!
S_kNgI96GKTlpM2png:86bcefd0,3,buyer,offer,offer,real,16,16,16,16,16,16,18,FALSE,[],,NEUTRAL,"{""AEO"": 0.034482758620689655, ""CLOSING"": 0.034482758620689655, ""CSC"": 0.034482758620689655, ""LIC"": 0.034482758620689655, ""NCR"": 0.034482758620689655, ""NEUTRAL"": 0.7241379310344828, ""RC"": 0.034482758620689655, ""REO"": 0.034482758620689655, ""RNC"": 0.034482758620689655}",0,,,neutral,gap=0.0 scale=0.2 strategy=neutral,FALSE,,TRUE,
S_kNgI96GKTlpM2png:86bcefd0,4,seller,,,real,,,,,,,,,,,NEUTRAL,"{""AEO"": 0.034482758620689655, ""CLOSING"": 0.034482758620689655, ""CSC"": 0.034482758620689655, ""LIC"": 0.034482758620689655, ""NCR"": 0.034482758620689655, ""NEUTRAL"": 0.7241379310344828, ""RC"": 0.034482758620689655, ""REO"": 0.034482758620689655, ""RNC"": 0.034482758620689655}",0,,,,,,,,
S_JoXEUeLPEox9QzSo:2b39df07,0,seller,,,real,,,,,,,,,,,NEUTRAL,"{""AEO"": 0.034482758620689655, ""CLOSING"": 0.034482758620689655, ""CSC"": 0.034482758620689655, ""LIC"": 0.034482758620689655, ""NCR"": 0.034482758620689655, ""NEUTRAL"": 0.7241379310344828, ""RC"": 0.034482758620689655, ""REO"": 0.034482758620689655, ""RNC"": 0.034482758620689655}",0,,,,,,,,Are you interested in buying this Bike?
S_JoXEUeLPEox9QzSo:2b39df07,0,buyer,greet,greet,real,,,,,,,45,FALSE,"[""raw_price_none""]",,NEUTRAL,"{""AEO"": 0.034482758620689655, ""CLOSING"": 0.034482758620689655, ""CSC"": 0.034482758620689655, ""LIC"": 0.034482758620689655, ""NCR"": 0.034482758620689655, ""NEUTRAL"": 0.7241379310344828, ""RC"": 0.034482758620689655, ""REO"": 0.034482758620689655, ""RNC"": 0.034482758620689655}",0,,,,raw_price is None,FALSE,,FALSE,Hello
S_JoXEUeLPEox9QzSo:2b39df07,1,seller,,,real,,,,,,,,,,,NEUTRAL,"{""AEO"": 0.034482758620689655, ""CLOSING"": 0.034482758620689655, ""CSC"": 0.034482758620689655, ""LIC"": 0.034482758620689655, ""NCR"": 0.034482758620689655, ""NEUTRAL"": 0.7241379310344828, ""RC"": 0.034482758620689655, ""REO"": 0.034482758620689655, ""RNC"": 0.034482758620689655}",0,,,,,,,,That is great
S_JoXEUeLPEox9QzSo:2b39df07,1,buyer,inform,inform,real,,,,,,,45,FALSE,"[""raw_price_none""]",,NEUTRAL,"{""AEO"": 0.034482758620689655, ""CLOSING"": 0.034482758620689655, ""CSC"": 0.034482758620689655, ""LIC"": 0.034482758620689655, ""NCR"": 0.034482758620689655, ""NEUTRAL"": 0.7241379310344828, ""RC"": 0.034482758620689655, ""REO"": 0.034482758620689655, ""RNC"": 0.034482758620689655}",0,,,,raw_price is None,FALSE,,FALSE,Give me your answer do ...
S_JoXEUeLPEox9QzSo:2b39df07,2,seller,,,real,,,,,,,,,,,NEUTRAL,"{""AEO"": 0.034482758620689655, ""CLOSING"": 0.034482758620689655, ""CSC"": 0.034482758620689655, ""LIC"": 0.034482758620689655, ""NCR"": 0.034482758620689655, ""NEUTRAL"": 0.7241379310344828, ""RC"": 0.034482758620689655, ""REO"": 0.034482758620689655, ""RNC"": 0.034482758620689655}",0,,,,,,,,Done!
S_JoXEUeLPEox9QzSo:2b39df07,2,buyer,offer,offer,real,48,45,45,45,,,45,TRUE,"[""above_buyer_limit""]",,NEUTRAL,"{""AEO"": 0.034482758620689655, ""CLOSING"": 0.034482758620689655, ""CSC"": 0.034482758620689655, ""LIC"": 0.034482758620689655, ""NCR"": 0.034482758620689655, ""NEUTRAL"": 0.7241379310344828, ""RC"": 0.034482758620689655, ""REO"": 0.034482758620689655, ""RNC"": 0.034482758620689655}",0,,,neutral,missing last buyer or seller price; start from safe price,FALSE,,FALSE,
